timestamp,utc,id,price,size
1592295014326,2020-06-16 08:10:14.326000,459384992,43.69,-0.15507886
1592295008126,2020-06-16 08:10:08.126000,459384991,43.691,-0.13183141
1592295003665,2020-06-16 08:10:03.665000,459384990,43.691,-3.19621119
1592294988285,2020-06-16 08:09:48.285000,459384984,43.726,-22.25159189
1592294987306,2020-06-16 08:09:47.306000,459384983,43.741,-9.79652172
1592294987306,2020-06-16 08:09:47.306000,459384982,43.741,-30.66576564
1592294987251,2020-06-16 08:09:47.251000,459384981,43.741,-10.31193759
1592294986828,2020-06-16 08:09:46.828000,459384980,43.741,-16.81933585
1592294941286,2020-06-16 08:09:01.286000,459384978,43.741,-5.74516791
1592294937590,2020-06-16 08:08:57.590000,459384977,43.741,-6.6290399
1592294937245,2020-06-16 08:08:57.245000,459384976,43.741,-7.64889219
1592294931141,2020-06-16 08:08:51.141000,459384975,43.741,-7.94629691
1592294804712,2020-06-16 08:06:44.712000,459384971,43.741,-6.43903648
1592294799101,2020-06-16 08:06:39.101000,459384970,43.741,-6.1708876
1592294789818,2020-06-16 08:06:29.818000,459384969,43.741,-7.12025493
1592294593145,2020-06-16 08:03:13.145000,459384951,43.764,10.3735
1592294400705,2020-06-16 08:00:00.705000,459384946,43.813,0.08165597
1592294393912,2020-06-16 07:59:53.912000,459384945,43.813,0.4
1592294355354,2020-06-16 07:59:15.354000,459384944,43.813,3.08774636
1592294343309,2020-06-16 07:59:03.309000,459384943,43.813,3.0505
1592294325311,2020-06-16 07:58:45.311000,459384941,43.807,-2.0
1592294301308,2020-06-16 07:58:21.308000,459384940,43.8,2.04665515
1592294301308,2020-06-16 07:58:21.308000,459384939,43.8,3.98904657
1592294301308,2020-06-16 07:58:21.308000,459384938,43.8,173.0
1592294301308,2020-06-16 07:58:21.308000,459384937,43.8,2.79906675
1592294301308,2020-06-16 07:58:21.308000,459384936,43.8,12.32331194
1592294301308,2020-06-16 07:58:21.308000,459384935,43.794,7.75417323
1592294015587,2020-06-16 07:53:35.587000,459384930,43.806,5.5005
1592294014516,2020-06-16 07:53:34.516000,459384929,43.806,0.1
1592293831491,2020-06-16 07:50:31.491000,459384924,43.845,3.1843
1592293764098,2020-06-16 07:49:24.098000,459384922,43.85,0.3623
1592293595478,2020-06-16 07:46:35.478000,459384916,43.862,0.101
1592293594310,2020-06-16 07:46:34.310000,459384915,43.813,2.42e-06
1592293594246,2020-06-16 07:46:34.246000,459384914,43.813,8.67549
1592293495448,2020-06-16 07:44:55.448000,459384907,43.79,-0.20347828
1592293478702,2020-06-16 07:44:38.702000,459384906,43.806,2.0
1592293434531,2020-06-16 07:43:54.531000,459384905,43.81,118.70741512
1592293434531,2020-06-16 07:43:54.531000,459384904,43.794,10.0
1592293434531,2020-06-16 07:43:54.531000,459384903,43.793,11.29258488
1592293077475,2020-06-16 07:37:57.475000,459384896,43.773,7.34260222
1592292943779,2020-06-16 07:35:43.779000,459384885,43.75,-0.36592876
1592292909573,2020-06-16 07:35:09.573000,459384883,43.751,4.0
1592292198530,2020-06-16 07:23:18.530000,459384867,43.751,1.8524
1592292114968,2020-06-16 07:21:54.968000,459384861,43.75,-9.63407124
1592291982624,2020-06-16 07:19:42.624000,459384859,43.74,-0.08615089
1592291958624,2020-06-16 07:19:18.624000,459384858,43.762,1.01689
1592291859440,2020-06-16 07:17:39.440000,459384852,43.78,75.89971296
1592291859440,2020-06-16 07:17:39.440000,459384851,43.769,7.76028704
1592291846283,2020-06-16 07:17:26.283000,459384849,43.77,72.94749878
1592291846283,2020-06-16 07:17:26.283000,459384848,43.763,9.55250122
1592291463700,2020-06-16 07:11:03.700000,459384841,43.799,0.1
1592291367902,2020-06-16 07:09:27.902000,459384840,43.799,11.4
1592291244604,2020-06-16 07:07:24.604000,459384838,43.809,10.0
1592291241340,2020-06-16 07:07:21.340000,459384837,43.809,1.25
1592291241340,2020-06-16 07:07:21.340000,459384836,43.799,8.75
1592291211586,2020-06-16 07:06:51.586000,459384835,43.801,0.1
1592291119354,2020-06-16 07:05:19.354000,459384834,43.789,1.25
1592291049607,2020-06-16 07:04:09.607000,459384826,43.788,5.0
1592291034699,2020-06-16 07:03:54.699000,459384823,43.738,7.289983
1592291034699,2020-06-16 07:03:54.699000,459384822,43.728,0.00034942
1592291033905,2020-06-16 07:03:53.905000,459384821,43.728,5.71665058
1592291033905,2020-06-16 07:03:53.905000,459384820,43.728,9.12034942
1592290416565,2020-06-16 06:53:36.565000,459384812,43.738,4.39439566
1592290415276,2020-06-16 06:53:35.276000,459384811,43.738,3.03751353
1592290415276,2020-06-16 06:53:35.276000,459384810,43.738,3.98850293
1592290400345,2020-06-16 06:53:20.345000,459384808,43.738,9.28655764
1592290214052,2020-06-16 06:50:14.052000,459384799,43.727,8.10496217
1592290064653,2020-06-16 06:47:44.653000,459384786,43.726,-7.88926168
1592289962330,2020-06-16 06:46:02.330000,459384775,43.726,-7.12843492
1592289929301,2020-06-16 06:45:29.301000,459384774,43.726,-8.44499721
1592289708579,2020-06-16 06:41:48.579000,459384770,43.768,0.08728427
1592289645936,2020-06-16 06:40:45.936000,459384767,43.74,-3.56
1592289645936,2020-06-16 06:40:45.936000,459384766,43.744,-8.0
1592289645936,2020-06-16 06:40:45.936000,459384765,43.746,-8.0
1592289645936,2020-06-16 06:40:45.936000,459384764,43.747,-20.0
1592289645936,2020-06-16 06:40:45.936000,459384763,43.758,-0.44
1592289629443,2020-06-16 06:40:29.443000,459384762,43.791,-8.0
1592289587891,2020-06-16 06:39:47.891000,459384761,43.77,1.23042119
1592289587561,2020-06-16 06:39:47.561000,459384760,43.77,17.51625157
1592289540710,2020-06-16 06:39:00.710000,459384753,43.758,-2.0
1592289534759,2020-06-16 06:38:54.759000,459384752,43.758,-2.56
1592289532928,2020-06-16 06:38:52.928000,459384751,43.768,-0.1
1592289530967,2020-06-16 06:38:50.967000,459384747,43.782,-4.578091
1592289530967,2020-06-16 06:38:50.967000,459384746,43.782,-0.15
1592289529316,2020-06-16 06:38:49.316000,459384744,43.834,-29.0
1592289200606,2020-06-16 06:33:20.606000,459384729,43.834,-1.0
1592289188893,2020-06-16 06:33:08.893000,459384722,43.901,-2.1014
1592289188537,2020-06-16 06:33:08.537000,459384721,43.902,-0.000984
1592289188512,2020-06-16 06:33:08.512000,459384720,43.902,-11.384
1592289187570,2020-06-16 06:33:07.570000,459384718,43.902,-17.51625157
1592289004330,2020-06-16 06:30:04.330000,459384702,43.915,-6.46654957
1592288776634,2020-06-16 06:26:16.634000,459384700,43.923,0.6417
1592288592190,2020-06-16 06:23:12.190000,459384697,43.918,-0.1
1592288385004,2020-06-16 06:19:45.004000,459384694,43.954,2.0
1592288104362,2020-06-16 06:15:04.362000,459384692,43.991,-7.8961998
1592287677575,2020-06-16 06:07:57.575000,459384686,43.951,-0.1
1592287544835,2020-06-16 06:05:44.835000,459384681,43.982,-12.0
1592287544835,2020-06-16 06:05:44.835000,459384680,43.983,-8.0
1592287225583,2020-06-16 06:00:25.583000,459384673,44.008,-0.5
1592287219582,2020-06-16 06:00:19.582000,459384672,44.008,-0.1
1592287199110,2020-06-16 05:59:59.110000,459384671,44.008,-5.0
1592287135357,2020-06-16 05:58:55.357000,459384670,43.984,0.56006468
1592287135254,2020-06-16 05:58:55.254000,459384669,43.984,7.16192697
1592286876155,2020-06-16 05:54:36.155000,459384668,43.92,1.25
1592286875823,2020-06-16 05:54:35.823000,459384667,43.912,0.63894462
1592286875823,2020-06-16 05:54:35.823000,459384666,43.912,7.73368711
1592286492311,2020-06-16 05:48:12.311000,459384662,43.923,-8.0
1592286472505,2020-06-16 05:47:52.505000,459384660,43.927,-7.12094572
1592286472148,2020-06-16 05:47:52.148000,459384659,43.935,-4.9
1592286389630,2020-06-16 05:46:29.630000,459384656,43.944,0.1
1592286320192,2020-06-16 05:45:20.192000,459384654,43.944,0.08736441
1592286042546,2020-06-16 05:40:42.546000,459384651,43.936,-0.1
1592285762068,2020-06-16 05:36:02.068000,459384650,43.956,0.25
1592285698626,2020-06-16 05:34:58.626000,459384649,43.957,1.0
1592285643221,2020-06-16 05:34:03.221000,459384648,43.984,0.8
1592285186180,2020-06-16 05:26:26.180000,459384646,43.982,8.25e-06
1592285185895,2020-06-16 05:26:25.895000,459384645,43.982,7.72172
1592285099888,2020-06-16 05:24:59.888000,459384643,43.976,7.72708757
1592284959822,2020-06-16 05:22:39.822000,459384640,43.935,-0.1
1592284942707,2020-06-16 05:22:22.707000,459384638,43.969,4.56872375
1592284777209,2020-06-16 05:19:37.209000,459384637,43.945,0.1
1592284623216,2020-06-16 05:17:03.216000,459384635,43.941,-0.34916
1592284623216,2020-06-16 05:17:03.216000,459384634,43.944,-1.25
1592284623216,2020-06-16 05:17:03.216000,459384633,43.954,-0.40084
1592284615472,2020-06-16 05:16:55.472000,459384632,43.952,7.72717549
1592284389704,2020-06-16 05:13:09.704000,459384628,43.951,1.09927302
1592284389067,2020-06-16 05:13:09.067000,459384627,43.951,6.62790247
1592284380788,2020-06-16 05:13:00.788000,459384626,43.941,-0.1
1592284288954,2020-06-16 05:11:28.954000,459384625,43.984,0.3
1592284150616,2020-06-16 05:09:10.616000,459384621,43.914,0.080168
1592284150547,2020-06-16 05:09:10.547000,459384620,43.912,0.080168
1592284150543,2020-06-16 05:09:10.543000,459384619,43.912,0.080168
1592284150539,2020-06-16 05:09:10.539000,459384618,43.912,0.080168
1592284150534,2020-06-16 05:09:10.534000,459384617,43.912,0.080168
1592284150508,2020-06-16 05:09:10.508000,459384616,43.916,0.080168
1592284150491,2020-06-16 05:09:10.491000,459384615,43.916,0.080168
1592284143810,2020-06-16 05:09:03.810000,459384614,43.927,0.240504
1592283982432,2020-06-16 05:06:22.432000,459384612,43.906,-0.1
1592283981143,2020-06-16 05:06:21.143000,459384611,43.95,-7.276
1592283950245,2020-06-16 05:05:50.245000,459384610,44.0,-2.0
1592283938916,2020-06-16 05:05:38.916000,459384609,44.009,0.1
1592283686679,2020-06-16 05:01:26.679000,459384606,44.008,4.88045437
1592283686500,2020-06-16 05:01:26.500000,459384605,44.007,0.91026443
1592283686134,2020-06-16 05:01:26.134000,459384604,44.007,7.21413457
1592283677043,2020-06-16 05:01:17.043000,459384603,44.008,0.11954563
1592283677043,2020-06-16 05:01:17.043000,459384602,43.994,7.71927072
1592283403987,2020-06-16 04:56:43.987000,459384598,43.981,-5.36683074
1592283403987,2020-06-16 04:56:43.987000,459384597,43.991,-4.63316926
1592283219296,2020-06-16 04:53:39.296000,459384595,44.0,-0.12126796
1592283197959,2020-06-16 04:53:17.959000,459384594,43.96,2.5
1592283197959,2020-06-16 04:53:17.959000,459384593,43.96,5.0
1592283197828,2020-06-16 04:53:17.828000,459384592,43.959,5.76092663
1592283197522,2020-06-16 04:53:17.522000,459384591,43.959,1.8637
1592283141721,2020-06-16 04:52:21.721000,459384587,43.959,0.1
1592282721188,2020-06-16 04:45:21.188000,459384568,43.954,7.42568113
1592282579793,2020-06-16 04:42:59.793000,459384565,43.954,0.1
1592282574486,2020-06-16 04:42:54.486000,459384564,43.954,0.1
1592282553515,2020-06-16 04:42:33.515000,459384562,43.95,-2.27
1592282548345,2020-06-16 04:42:28.345000,459384561,43.954,0.1
1592282543037,2020-06-16 04:42:23.037000,459384560,43.956,0.1
1592282491581,2020-06-16 04:41:31.581000,459384559,43.954,-0.1
1592282488183,2020-06-16 04:41:28.183000,459384558,43.954,-0.1
1592282451998,2020-06-16 04:40:51.998000,459384557,43.95,-0.354
1592282429115,2020-06-16 04:40:29.115000,459384556,43.95,-0.1
1592282351731,2020-06-16 04:39:11.731000,459384552,43.956,7.13569813
1592281880823,2020-06-16 04:31:20.823000,459384541,43.961,-5.0
1592281708925,2020-06-16 04:28:28.925000,459384540,43.977,-0.18124331
1592281691498,2020-06-16 04:28:11.498000,459384539,43.975,-0.1
1592281686810,2020-06-16 04:28:06.810000,459384538,43.951,-1.03
1592281686810,2020-06-16 04:28:06.810000,459384537,43.956,-1.25
1592281681497,2020-06-16 04:28:01.497000,459384536,44.007,-2.398e-05
1592281632270,2020-06-16 04:27:12.270000,459384535,44.007,-38.222
1592281629418,2020-06-16 04:27:09.418000,459384534,44.007,-7.77797602
1592281504396,2020-06-16 04:25:04.396000,459384530,44.007,-1.32494038
1592280978983,2020-06-16 04:16:18.983000,459384520,43.952,-2.27
1592280801962,2020-06-16 04:13:21.962000,459384519,44.027,-0.08558743
1592280717828,2020-06-16 04:11:57.828000,459384517,44.041,4.248308
1592280645542,2020-06-16 04:10:45.542000,459384510,44.045,-7.73487929
1592280602455,2020-06-16 04:10:02.455000,459384506,44.039,21.68703069
1592280602455,2020-06-16 04:10:02.455000,459384505,44.038,8.65128165
1592280429727,2020-06-16 04:07:09.727000,459384504,44.036,0.9206
1592280322081,2020-06-16 04:05:22.081000,459384500,43.968,2.30568764
1592280314059,2020-06-16 04:05:14.059000,459384499,43.979,0.1
1592280275948,2020-06-16 04:04:35.948000,459384495,43.96,0.256594
1592280262495,2020-06-16 04:04:22.495000,459384493,43.958,-2.28
1592280209095,2020-06-16 04:03:29.095000,459384489,44.02,-2.27
1592280036061,2020-06-16 04:00:36.061000,459384484,44.07,-0.8707598
1592279872624,2020-06-16 03:57:52.624000,459384482,43.974,10.366
1592279589111,2020-06-16 03:53:09.111000,459384478,43.955,-0.28228164
1592279513943,2020-06-16 03:51:53.943000,459384476,43.995,-0.1
1592279507569,2020-06-16 03:51:47.569000,459384475,44.012,-0.08
1592279507563,2020-06-16 03:51:47.563000,459384474,44.011,-0.20361246
1592279507559,2020-06-16 03:51:47.559000,459384473,44.011,-0.32813366
1592279457365,2020-06-16 03:50:57.365000,459384472,44.135,-8.0
1592279275647,2020-06-16 03:47:55.647000,459384460,44.183,0.1
